date,timestamp,update_timestamp,forecast_date,forecast_timestamp,forecast_summary,forecast_text,forecast_code,wind_speed_high,wind_speed_low,wind_direction,relative_humidity_high,relative_humidity_low,temperature_high,temperature_low
2019-01-01,2019-01-01T04:51:00+08:00,2019-01-01T05:32:08+08:00,2019-01-02,2019-01-02T00:00:00+08:00,Windy with afternoon passing showers.,Passing Showers,PS,30.0,25.0,WNW,95.0,55.0,33.0,24.0
2019-01-01,2019-01-01T04:51:00+08:00,2019-01-01T05:32:08+08:00,2019-01-03,2019-01-03T00:00:00+08:00,Windy with afternoon passing showers.,Passing Showers,PS,30.0,15.0,W,95.0,60.0,33.0,24.0
2019-01-01,2019-01-01T04:51:00+08:00,2019-01-01T05:32:08+08:00,2019-01-04,2019-01-04T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,10.0,W,95.0,60.0,34.0,24.0
2019-01-01,2019-01-01T04:51:00+08:00,2019-01-01T05:32:08+08:00,2019-01-05,2019-01-05T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,15.0,5.0,VARIABLE,95.0,60.0,34.0,24.0
2019-01-01,2019-01-01T12:37:00+08:00,2019-01-01T13:02:08+08:00,2019-01-02,2019-01-02T00:00:00+08:00,Windy with afternoon passing showers.,Passing Showers,PS,30.0,20.0,WNW,95.0,55.0,33.0,24.0
2019-01-01,2019-01-01T12:37:00+08:00,2019-01-01T13:02:08+08:00,2019-01-03,2019-01-03T00:00:00+08:00,Windy with afternoon passing showers.,Passing Showers,PS,30.0,15.0,W,95.0,60.0,33.0,24.0
2019-01-01,2019-01-01T12:37:00+08:00,2019-01-01T13:02:08+08:00,2019-01-04,2019-01-04T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,10.0,W,95.0,60.0,34.0,24.0
2019-01-01,2019-01-01T12:37:00+08:00,2019-01-01T13:02:08+08:00,2019-01-05,2019-01-05T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,15.0,5.0,VARIABLE,95.0,60.0,34.0,24.0
2019-01-01,2019-01-01T16:47:00+08:00,2019-01-01T17:02:08+08:00,2019-01-02,2019-01-02T00:00:00+08:00,Windy with afternoon passing showers.,Passing Showers,PS,30.0,15.0,NW,95.0,55.0,33.0,24.0
2019-01-01,2019-01-01T16:47:00+08:00,2019-01-01T17:02:08+08:00,2019-01-03,2019-01-03T00:00:00+08:00,Windy with morning showers.,Showers,SH,30.0,20.0,W,95.0,55.0,33.0,24.0
2019-01-01,2019-01-01T16:47:00+08:00,2019-01-01T17:02:08+08:00,2019-01-04,2019-01-04T00:00:00+08:00,Late afternoon thundery showers.,Thundery Showers,TL,25.0,10.0,W,95.0,55.0,34.0,24.0
2019-01-01,2019-01-01T16:47:00+08:00,2019-01-01T17:02:08+08:00,2019-01-05,2019-01-05T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,5.0,NW,95.0,55.0,34.0,24.0
2019-01-02,2019-01-02T05:19:00+08:00,2019-01-02T05:32:09+08:00,2019-01-03,2019-01-03T00:00:00+08:00,Windy with morning passing showers.,Passing Showers,PS,30.0,20.0,W,95.0,55.0,33.0,24.0
2019-01-02,2019-01-02T05:19:00+08:00,2019-01-02T05:32:09+08:00,2019-01-04,2019-01-04T00:00:00+08:00,Late afternoon thundery showers.,Thundery Showers,TL,25.0,10.0,W,95.0,55.0,34.0,24.0
2019-01-02,2019-01-02T05:19:00+08:00,2019-01-02T05:32:09+08:00,2019-01-05,2019-01-05T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,15.0,5.0,VARIABLE,95.0,55.0,34.0,24.0
2019-01-02,2019-01-02T05:19:00+08:00,2019-01-02T05:32:09+08:00,2019-01-06,2019-01-06T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,5.0,NE,95.0,55.0,34.0,24.0
2019-01-02,2019-01-02T17:03:00+08:00,2019-01-02T17:32:08+08:00,2019-01-03,2019-01-03T00:00:00+08:00,Windy with morning passing showers.,Passing Showers,PS,35.0,20.0,WNW,95.0,55.0,33.0,24.0
2019-01-02,2019-01-02T17:03:00+08:00,2019-01-02T17:32:08+08:00,2019-01-04,2019-01-04T00:00:00+08:00,Late afternoon thundery showers.,Thundery Showers,TL,25.0,10.0,W,95.0,55.0,34.0,24.0
2019-01-02,2019-01-02T17:03:00+08:00,2019-01-02T17:32:08+08:00,2019-01-05,2019-01-05T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,15.0,5.0,VARIABLE,95.0,55.0,34.0,24.0
2019-01-02,2019-01-02T17:03:00+08:00,2019-01-02T17:32:08+08:00,2019-01-06,2019-01-06T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,10.0,NE,95.0,55.0,34.0,24.0
